2023-03-08 13:29:44 , 21.8 °C , 55.0 % , 3605.4 hPa , 0.2 ppm , 0.0 ppm
2023-03-08 13:29:49 , 21.8 °C , 55.0 % , 3605.4 hPa , 0.2 ppm , 0.0 ppm
2023-03-08 13:35:55 , 21.8 °C , 55.2 % , 3604.4 hPa , 0.2 ppm , 0.1 ppm
2023-03-08 13:36:00 , 21.8 °C , 55.2 % , 3604.4 hPa , 0.2 ppm , 0.1 ppm
2023-03-08 13:36:05 , 21.8 °C , 55.2 % , 3604.4 hPa , 0.2 ppm , 0.1 ppm
2023-03-08 13:36:10 , 21.8 °C , 55.2 % , 3604.4 hPa , 0.2 ppm , 0.1 ppm
2023-03-08 13:36:15 , 21.8 °C , 55.2 % , 3604.4 hPa , 0.2 ppm , 0.1 ppm
2023-03-08 13:36:20 , 21.8 °C , 55.2 % , 3604.4 hPa , 0.2 ppm , 0.1 ppm
2023-03-08 13:36:25 , 21.8 °C , 55.2 % , 3604.4 hPa , 0.2 ppm , 0.1 ppm
2023-03-08 14:16:11 , 21.9 °C , 55.1 % , 3603.4 hPa , 0.4 ppm , 0.0 ppm
2023-03-08 14:16:16 , 21.9 °C , 55.2 % , 3603.4 hPa , 0.4 ppm , 0.0 ppm
2023-03-08 16:16:34 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:16:39 , 21.9 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:16:44 , 21.9 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:16:49 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:16:54 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:16:59 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:04 , 21.9 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:09 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:14 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:19 , 21.9 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:24 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
